last_name,first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,swing_percent
Pujols,Albert,2019,39,491,545,120,75,22,0,23,68,43,12.5,7.9,0.244,0.43,0.305,0.734,0,3,1,0,8,0.253,0.433,0.308,0.322,0.317,0.18,88.3,12.6,26.5,5.8,18.2,44.5
Cabrera,Miguel,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,0.282,0.398,0.346,0.744,0,3,4,0,5,0.272,0.443,0.318,0.336,0.34,0.171,90.3,12.3,38.2,6.4,24.4,49.6
Choo,Shin-Soo,2019,37,563,660,149,92,31,2,24,165,78,25,11.8,0.265,0.455,0.371,0.826,1,18,3,0,1,0.266,0.48,0.353,0.365,0.373,0.214,91.9,9.2,32.1,8.8,29.5,42
Jones,Adam,2019,34,485,528,126,84,25,1,16,101,31,19.1,5.9,0.26,0.414,0.313,0.727,1,8,2,0,3,0.258,0.434,0.308,0.321,0.313,0.177,86.1,13.4,31.3,6.7,27,54.1
Cruz,Nelson,2019,39,454,521,141,74,26,0,41,131,56,25.1,10.7,0.311,0.639,0.392,1.03,1,7,8,0,3,0.294,0.643,0.418,0.42,0.382,0.349,93.7,13.1,38.3,19.9,32.5,46.2
Longoria,Evan,2019,34,453,508,115,74,19,2,20,112,43,22,8.5,0.254,0.437,0.325,0.762,1,7,1,0,5,0.276,0.504,0.322,0.36,0.345,0.228,89.7,14,35.8,7.5,25.7,46.8
Fowler,Dexter,2019,33,487,574,116,72,24,1,19,142,74,24.7,12.9,0.238,0.409,0.345,0.754,5,8,1,1,4,0.254,0.43,0.326,0.344,0.361,0.176,85.5,12.9,40.3,7.4,27.2,42.6
Cabrera,Asdrubal,2019,34,447,514,116,72,25,1,18,103,57,20,11.1,0.26,0.441,0.342,0.783,0,3,2,0,7,0.241,0.418,0.331,0.323,0.329,0.177,89.1,14.4,37.3,5.7,20.7,45.3
Blackmon,Charlie,2019,33,580,634,182,101,42,7,32,104,40,16.4,6.3,0.314,0.576,0.364,0.94,5,9,1,0,5,0.301,0.532,0.387,0.373,0.354,0.232,88.7,14.5,36.8,8.3,19.6,49.7
Cain,Lorenzo,2019,33,562,623,146,105,30,0,11,106,50,17,8,0.26,0.372,0.324,0.696,8,6,0,0,4,0.292,0.422,0.302,0.34,0.355,0.13,89.4,6.6,31.3,4.1,19.2,44.7
Turner,Justin,2019,35,479,549,139,88,24,0,27,88,51,16,9.3,0.29,0.509,0.372,0.881,0,14,1,0,5,0.29,0.524,0.37,0.382,0.375,0.235,90.3,17.8,38.9,7.8,17.1,45.4
Votto,Joey,2019,36,525,608,137,89,32,1,15,123,76,20.2,12.5,0.261,0.411,0.357,0.768,0,4,2,0,3,0.261,0.451,0.332,0.35,0.36,0.19,88.8,15.3,40.7,6.9,19.6,41.5
Gardner,Brett,2019,36,491,550,123,62,26,7,28,108,52,19.6,9.5,0.251,0.503,0.325,0.829,2,4,0,0,3,0.241,0.375,0.344,0.306,0.32,0.134,87.7,13.9,28.8,3.9,19.7,38.3
Braun,Ryan,2019,36,459,508,131,76,31,2,22,105,34,20.7,6.7,0.285,0.505,0.341,0.846,1,8,1,0,3,0.271,0.482,0.354,0.347,0.331,0.212,91.4,7.1,33.6,9.8,24.9,51.5
Gordon,Alex,2019,35,556,633,148,103,31,1,13,100,51,15.8,8.1,0.266,0.396,0.344,0.74,3,19,4,1,6,0.262,0.437,0.319,0.339,0.344,0.176,88.7,9.3,33.7,5.4,22,47.9
Andrus,Elvis,2019,31,600,648,165,122,27,4,12,96,34,14.8,5.2,0.275,0.393,0.313,0.707,8,4,1,0,10,0.275,0.407,0.3,0.316,0.318,0.132,88.4,7.3,32.5,3.5,19.6,46.4
Ramos,Wilson,2019,32,473,524,136,103,19,0,14,69,44,13.2,8.4,0.288,0.416,0.351,0.768,0,4,5,0,3,0.264,0.405,0.327,0.318,0.331,0.14,90,-0.1,25.8,4.7,20.5,53.9
Santana,Carlos,2019,33,573,686,161,96,30,1,34,108,108,15.7,15.7,0.281,0.515,0.397,0.911,0,3,12,0,2,0.271,0.491,0.38,0.372,0.388,0.221,91.8,11.8,29.1,9.6,20.4,39.3
Belt,Brandon,2019,31,526,616,123,71,32,3,17,127,83,20.6,13.5,0.234,0.403,0.339,0.742,3,3,3,0,4,0.244,0.465,0.319,0.35,0.351,0.221,87.3,22.4,40.9,8.7,22.9,46
Brantley,Michael,2019,32,575,637,179,115,40,2,22,66,51,10.4,8,0.311,0.503,0.372,0.875,2,7,3,0,4,0.301,0.485,0.367,0.365,0.366,0.184,88.9,10.7,36.8,5.5,10.8,43.7
Gurriel,Yuli,2019,35,564,612,168,95,40,2,31,65,37,10.6,6,0.298,0.541,0.343,0.884,3,5,2,0,6,0.283,0.421,0.364,0.325,0.332,0.138,89.3,14.3,33.5,3.6,14.8,49.7
Rojas,Miguel,2019,30,483,526,137,102,29,1,5,62,32,11.8,6.1,0.284,0.379,0.331,0.71,5,5,2,1,5,0.275,0.379,0.305,0.31,0.326,0.105,87.4,9.1,31.9,2.6,16.5,47
Escobar,Eduardo,2019,30,636,699,171,97,29,10,35,130,50,18.6,7.2,0.269,0.511,0.32,0.831,1,3,3,0,10,0.259,0.473,0.341,0.332,0.315,0.215,87.7,18.4,38.6,7,24.8,52.5
Davis,Khris,2019,32,481,533,106,72,11,0,23,146,47,27.4,8.8,0.22,0.387,0.293,0.679,0,3,3,0,2,0.236,0.446,0.289,0.323,0.311,0.21,90.2,13,31.5,9.8,34.9,51.8
Pham,Tommy,2019,31,567,654,155,99,33,2,21,123,81,18.8,12.4,0.273,0.45,0.369,0.818,4,5,4,0,1,0.282,0.473,0.349,0.366,0.377,0.191,90.9,5.2,29.7,7.9,20.2,38.4
Martinez,J.D.,2019,32,575,657,175,104,33,2,36,138,72,21,11,0.304,0.557,0.382,0.939,0,4,9,0,5,0.306,0.578,0.386,0.402,0.388,0.272,91.3,12.4,40.7,11.8,26.7,49.5
Reddick,Josh,2019,32,501,550,138,102,19,3,14,66,36,12,6.5,0.275,0.409,0.316,0.726,2,0,1,1,9,0.276,0.4,0.308,0.318,0.325,0.125,86.1,15.7,35.7,3.4,14.7,51
Goldschmidt,Paul,2019,32,597,682,155,95,25,1,34,166,78,24.3,11.4,0.26,0.476,0.345,0.82,1,2,2,0,3,0.261,0.517,0.346,0.364,0.348,0.257,90.1,15.4,36.4,11.3,26.3,46.5
Altuve,Jose,2019,29,500,548,149,88,27,3,31,82,41,15,7.5,0.298,0.55,0.352,0.902,5,3,0,1,3,0.277,0.499,0.374,0.356,0.337,0.222,87.3,9.7,28.4,8.1,20.8,46.8
Hernandez,Cesar,2019,29,612,667,171,123,31,3,14,100,45,15,6.7,0.279,0.408,0.333,0.741,2,6,4,0,4,0.269,0.383,0.315,0.309,0.324,0.114,86,9.5,31.8,2.7,17.2,45.5
Segura,Jean,2019,29,576,618,161,108,37,4,12,73,30,11.8,4.9,0.28,0.42,0.322,0.742,2,8,1,1,3,0.275,0.408,0.315,0.317,0.319,0.134,88.2,7.2,31,3.2,14.7,47
Castro,Starlin,2019,29,636,676,172,115,31,4,22,111,28,16.4,4.1,0.27,0.436,0.3,0.736,2,3,2,0,9,0.269,0.439,0.307,0.316,0.302,0.17,88.6,10.9,29.6,6.2,19.1,49.2
Marte,Starling,2019,31,539,586,159,99,31,6,23,94,25,16,4.3,0.295,0.503,0.341,0.844,6,16,1,2,4,0.303,0.516,0.353,0.369,0.352,0.213,88.6,8.2,31,8,25.1,53.2
Donaldson,Josh,2019,34,549,659,142,72,33,0,37,155,100,23.5,15.2,0.259,0.521,0.379,0.9,2,8,2,0,2,0.269,0.539,0.377,0.39,0.388,0.27,92.9,13.3,33.3,15.7,29.9,43.9
Freeman,Freddie,2019,30,597,692,176,102,34,2,38,127,87,18.4,12.6,0.295,0.549,0.389,0.938,3,6,11,0,2,0.297,0.581,0.387,0.402,0.391,0.284,89.8,14.3,40.3,12.5,24.3,51.9
Grandal,Yasmani,2019,31,513,632,126,70,26,2,28,139,109,22,17.2,0.246,0.468,0.38,0.848,1,5,2,0,5,0.243,0.482,0.361,0.369,0.38,0.239,90.7,14.3,37.7,11.3,25.5,38.4
Heyward,Jason,2019,30,513,589,129,84,20,4,21,110,68,18.7,11.5,0.251,0.429,0.343,0.772,3,5,5,0,3,0.261,0.407,0.328,0.331,0.352,0.146,88.8,11.3,31.8,5.7,22.7,45.4
LeMahieu,DJ,2019,31,602,655,197,136,33,2,26,90,46,13.7,7,0.327,0.518,0.374,0.892,2,2,0,1,4,0.319,0.533,0.375,0.384,0.37,0.214,91.9,6.5,35.2,7.5,16,45.6
Moustakas,Mike,2019,31,523,584,133,67,30,1,35,98,53,16.8,9.1,0.254,0.516,0.329,0.845,0,6,5,0,2,0.263,0.509,0.348,0.354,0.338,0.246,89.5,17.4,32.6,10.3,25,49.8
Rizzo,Anthony,2019,30,512,613,150,91,29,3,27,86,71,14,11.6,0.293,0.52,0.405,0.924,2,27,3,0,3,0.301,0.498,0.39,0.394,0.415,0.197,89,12.6,36.8,6.8,19.7,45.5
Galvis,Freddy,2019,30,557,589,145,93,28,1,23,145,28,24.6,4.8,0.26,0.438,0.295,0.733,2,1,1,1,2,0.24,0.394,0.308,0.287,0.277,0.154,88.8,14.7,31.8,5.5,28.7,54
Garcia,Avisail,2019,28,489,530,138,91,25,2,20,125,31,23.6,5.8,0.282,0.464,0.332,0.796,4,7,2,0,3,0.278,0.502,0.334,0.351,0.33,0.224,89.5,9.8,34.1,11.7,32,56.4
Ozuna,Marcell,2019,29,485,549,117,64,23,1,29,114,62,20.8,11.3,0.241,0.472,0.328,0.8,2,1,2,0,1,0.291,0.548,0.336,0.387,0.373,0.257,91.8,13.5,32.8,12.1,27.6,44.9
Villar,Jonathan,2019,28,642,714,176,114,33,5,24,176,61,24.6,8.5,0.274,0.453,0.338,0.791,9,4,0,2,4,0.247,0.414,0.335,0.316,0.317,0.166,88.9,8.2,30.3,6.8,27.6,49.2
Santana,Danny,2019,29,474,511,134,77,23,6,28,151,25,29.5,4.9,0.283,0.534,0.323,0.857,6,6,2,0,5,0.276,0.502,0.352,0.346,0.319,0.226,91.4,13.5,37.8,9.5,32.1,55.6
Crawford,Brandon,2019,32,500,560,114,77,24,2,11,117,53,20.9,9.5,0.228,0.35,0.304,0.654,2,3,5,0,4,0.244,0.408,0.281,0.313,0.32,0.164,87.8,8.3,36.7,5.4,28.3,51.3
Hosmer,Eric,2019,30,619,667,164,111,29,2,22,163,40,24.4,6,0.265,0.425,0.31,0.735,3,3,3,0,5,0.255,0.417,0.309,0.309,0.303,0.162,90.8,2.1,28.9,7.2,28.9,49.9
Kipnis,Jason,2019,32,458,511,112,71,23,1,17,88,40,17.2,7.8,0.245,0.41,0.301,0.712,2,2,2,5,6,0.259,0.425,0.301,0.322,0.321,0.166,88.1,14.1,33.1,5.5,20.4,46
Rendon,Anthony,2019,29,545,646,174,93,44,3,34,86,80,13.3,12.4,0.319,0.598,0.412,1.01,1,12,8,0,9,0.315,0.6,0.413,0.42,0.412,0.285,90.4,19.5,38.7,12,12.9,43.1
Semien,Marcus,2019,29,657,747,187,104,43,7,33,102,87,13.7,11.6,0.285,0.522,0.369,0.892,8,2,2,0,1,0.275,0.503,0.373,0.367,0.362,0.228,88.9,14.9,34.4,8.5,18.3,42.1
Springer,George,2019,30,479,556,140,78,20,3,39,113,67,20.3,12.1,0.292,0.591,0.383,0.974,2,6,1,0,4,0.288,0.582,0.401,0.404,0.383,0.294,89.8,10.4,31.9,14.1,26.5,44
Vazquez,Christian,2019,29,482,521,133,83,26,1,23,101,33,19.4,6.3,0.276,0.477,0.319,0.796,2,0,3,3,3,0.253,0.447,0.331,0.317,0.302,0.194,89.4,13.2,37.5,5.9,20.5,49.9
Wong,Kolten,2019,29,478,549,136,96,25,4,11,83,47,15.1,8.6,0.285,0.423,0.357,0.78,4,13,5,6,5,0.25,0.365,0.334,0.307,0.334,0.115,86.1,12.7,28.1,2.2,18.5,47.4
Garcia,Leury,2019,28,577,618,161,123,27,3,8,139,21,22.5,3.4,0.279,0.378,0.304,0.682,5,6,0,11,3,0.247,0.359,0.295,0.279,0.281,0.112,88.2,6.2,30.1,3.8,24.7,53.8
Grichuk,Randal,2019,28,586,628,136,71,29,5,31,163,35,26,5.6,0.232,0.457,0.28,0.738,1,5,0,0,2,0.241,0.437,0.307,0.309,0.29,0.196,89.3,16,31.3,8.5,28.1,50.2
Trout,Mike,2019,28,470,600,137,63,27,2,45,120,110,20,18.3,0.291,0.645,0.438,1.083,2,16,14,0,4,0.311,0.676,0.436,0.46,0.457,0.365,90.9,22.2,43.8,18.9,19.2,36.8
Harper,Bryce,2019,27,573,682,149,77,36,1,35,178,99,26.1,14.5,0.26,0.51,0.372,0.882,3,6,11,0,4,0.277,0.551,0.366,0.39,0.388,0.274,91.9,13.7,37.6,14.8,34,48.3
Abreu,Jose,2019,32,634,693,180,108,38,1,33,152,36,21.9,5.2,0.284,0.503,0.33,0.834,2,13,4,0,10,0.282,0.522,0.344,0.363,0.335,0.24,92.1,10.9,35.2,12.8,25.3,49.5
Suarez,Eugenio,2019,28,575,662,156,83,22,2,49,189,70,28.5,10.6,0.271,0.572,0.358,0.93,2,11,4,0,6,0.251,0.509,0.381,0.361,0.344,0.258,89.4,17.8,39,14,28.7,44.4
Santana,Domingo,2019,27,451,507,114,72,20,1,21,164,50,32.3,9.9,0.253,0.441,0.327,0.769,3,2,1,0,2,0.254,0.49,0.326,0.349,0.332,0.236,89,11.3,40.5,12.1,31.9,46.8
Sanchez,Yolmer,2019,27,496,555,125,99,20,4,2,117,44,21.1,7.9,0.252,0.321,0.314,0.634,4,5,1,7,3,0.234,0.323,0.281,0.28,0.303,0.089,87.1,14.2,31.9,1,22.9,48
Arenado,Nolan,2019,28,588,662,185,111,31,2,41,93,62,14,9.4,0.315,0.583,0.379,0.962,2,4,11,0,8,0.274,0.489,0.392,0.349,0.345,0.215,89.4,17.6,34.6,8,20.9,51.4
Muncy,Max,2019,29,487,589,122,64,22,1,35,149,90,25.3,15.3,0.251,0.515,0.374,0.889,1,8,1,0,4,0.272,0.527,0.373,0.39,0.393,0.255,89.8,14.4,39.5,12,29,39.9
Voit,Luke,2019,28,429,510,113,70,21,1,21,142,71,27.8,13.9,0.263,0.464,0.378,0.842,0,9,2,0,1,0.249,0.496,0.36,0.367,0.368,0.247,89.7,12.5,38.5,13.2,35.1,47.3
Walker,Christian,2019,28,529,603,137,81,26,1,29,155,67,25.7,11.1,0.259,0.476,0.348,0.825,1,6,6,0,1,0.266,0.522,0.346,0.367,0.355,0.256,91.1,14.8,34.1,13.1,28.8,48.7
Iglesias,Jose,2019,29,504,530,145,110,21,3,11,70,20,13.2,3.8,0.288,0.407,0.317,0.724,6,3,3,1,2,0.271,0.376,0.306,0.296,0.304,0.104,84.2,6.9,30.4,2.5,15.3,55.4
Bryant,Kris,2019,27,543,634,153,86,35,1,31,145,74,22.9,11.7,0.282,0.521,0.382,0.903,0,15,1,0,2,0.251,0.469,0.38,0.354,0.356,0.218,87.5,19.1,35.8,9.3,28.4,48.4
Castellanos,Nick,2019,27,615,664,178,90,58,3,27,143,41,21.5,6.2,0.289,0.525,0.337,0.863,2,5,1,0,3,0.285,0.552,0.358,0.37,0.335,0.267,89,14,39.8,10.9,26.9,54.7
Machado,Manny,2019,27,587,661,150,95,21,2,32,128,65,19.4,9.8,0.256,0.462,0.334,0.796,3,6,3,0,3,0.267,0.474,0.335,0.349,0.346,0.207,91.2,12.9,31.2,8,24.2,46.7
Moran,Colin,2019,27,466,503,129,85,30,1,13,117,30,23.3,6,0.277,0.429,0.322,0.751,1,3,4,0,4,0.263,0.446,0.315,0.32,0.31,0.183,88.2,12.4,37.1,7.4,24.8,53.5
Pederson,Joc,2019,27,450,514,112,57,16,3,36,111,50,21.6,9.7,0.249,0.538,0.339,0.876,1,12,2,0,2,0.252,0.481,0.362,0.349,0.342,0.23,91.2,15.1,31.7,10.3,24.2,45.8
Realmuto,J.T.,2019,28,538,593,148,84,36,3,25,123,41,20.7,6.9,0.275,0.493,0.327,0.82,1,5,2,0,8,0.281,0.48,0.34,0.349,0.339,0.2,90.3,14.4,35,8.7,23.8,50.7
