last_name,first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_total_caught_stealing,b_hit_by_pitch,b_intent_walk,b_sac_bunt,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,whiff_percent,swing_percent
Rosario,Eddie,2019,28,562,590,155,94,28,1,32,86,22,14.6,3.7,0.276,0.5,0.3,0.8,1,0,2,0,6,0.268,0.506,0.329,0.336,0.296,0.238,89.2,16.8,33.4,8.5,21.3,59.1
Yelich,Christian,2019,28,489,580,161,85,29,3,44,118,80,20.3,13.8,0.329,0.671,0.429,1.1,2,8,16,0,3,0.315,0.629,0.442,0.428,0.419,0.314,93.2,11.3,33.2,15.8,28.2,45.2
Merrifield,Whit,2019,30,681,735,206,139,41,10,16,126,45,17.1,6.1,0.302,0.463,0.348,0.811,10,5,5,0,4,0.286,0.442,0.34,0.332,0.335,0.156,87,15.6,41.9,4.3,20.1,49
Bogaerts,Xander,2019,27,614,698,190,105,52,0,33,122,76,17.5,10.9,0.309,0.555,0.384,0.939,2,2,2,0,6,0.278,0.484,0.39,0.361,0.359,0.206,90.6,13.2,34.7,8.4,20.9,41.1
Alberto,Hanser,2019,27,524,550,160,125,21,2,12,50,16,9.1,2.9,0.305,0.422,0.327,0.749,4,4,1,3,3,0.283,0.401,0.318,0.308,0.309,0.119,84.4,11.8,32.5,2.9,14.6,58.3
Polanco,Jorge,2019,26,631,704,186,117,40,7,22,116,60,16.5,8.5,0.295,0.485,0.355,0.84,3,4,2,2,7,0.277,0.478,0.352,0.349,0.343,0.201,88,18.9,41.6,6.7,17.4,44.6
Calhoun,Kole,2019,32,552,632,128,65,29,1,33,162,70,25.6,11.1,0.232,0.467,0.324,0.792,1,7,7,0,2,0.245,0.479,0.33,0.344,0.338,0.234,89.5,14.9,34.9,11.2,32.2,48.1
Eaton,Adam,2019,31,566,656,158,111,25,7,15,106,65,16.2,9.9,0.279,0.428,0.36,0.787,3,13,0,9,3,0.263,0.417,0.342,0.336,0.353,0.153,88.9,15.3,33.9,3.8,17.8,43.1
Profar,Jurickson,2019,26,459,518,100,54,24,2,20,75,48,14.5,9.3,0.218,0.41,0.301,0.711,1,8,2,0,3,0.256,0.438,0.301,0.334,0.337,0.182,86.7,14,30.2,6.5,20.2,45.2
Baez,Javier,2019,27,531,561,149,78,38,4,29,156,28,27.8,5,0.281,0.531,0.316,0.847,7,0,3,0,2,0.269,0.51,0.347,0.339,0.305,0.241,91.1,7.8,36.3,12.7,35.7,55.2
Lindor,Francisco,2019,26,598,654,170,96,40,2,32,98,46,15,7,0.284,0.518,0.335,0.853,5,3,9,1,6,0.276,0.467,0.349,0.336,0.33,0.191,91,12.2,29.6,7.5,17.1,51.2
Odor,Rougned,2019,25,522,581,107,46,30,1,30,178,52,30.6,9,0.205,0.439,0.282,0.721,9,5,2,1,1,0.223,0.471,0.302,0.324,0.301,0.248,91.1,17.9,30.6,13.6,29.4,47.3
Story,Trevor,2019,27,588,656,173,95,38,5,35,174,58,26.5,8.8,0.294,0.554,0.363,0.917,8,7,0,0,3,0.265,0.471,0.38,0.346,0.338,0.206,91,17.5,36.5,8.6,26.5,48
Vogelbach,Daniel,2019,27,462,558,96,49,17,0,30,149,92,26.7,16.5,0.208,0.439,0.341,0.78,0,2,2,0,2,0.229,0.447,0.333,0.348,0.36,0.218,88.9,17.2,39.7,10.8,26.9,34
Kepler,Max,2019,26,524,596,132,64,32,0,36,99,60,16.6,10.1,0.252,0.519,0.336,0.855,5,8,0,0,4,0.264,0.465,0.355,0.348,0.347,0.202,89.7,18.2,31,8.9,20.1,49.3
Bradley Jr.,Jackie,2019,29,494,567,111,59,28,3,21,155,56,27.3,9.9,0.225,0.421,0.316,0.737,6,12,3,3,2,0.234,0.431,0.314,0.327,0.328,0.197,90.1,9.3,30.2,9.6,32.7,48
Nunez,Renato,2019,25,541,599,132,77,24,0,31,143,44,23.9,7.3,0.244,0.46,0.311,0.771,1,10,1,0,4,0.256,0.474,0.323,0.338,0.322,0.218,89.9,19.9,32.1,10.7,27.4,49.5
Ahmed,Nick,2019,29,556,625,141,83,33,6,19,113,52,18.1,8.3,0.254,0.437,0.315,0.752,2,4,2,1,12,0.261,0.432,0.315,0.326,0.327,0.171,87.8,7.6,35.5,6.6,21.3,49.3
Anderson,Brian,2019,26,459,520,120,66,33,1,20,114,44,21.9,8.5,0.261,0.468,0.342,0.811,1,14,1,0,3,0.258,0.461,0.342,0.345,0.341,0.203,89.9,11.1,31.3,8.9,27.4,47.5
Bell,Josh,2019,27,527,613,146,69,37,3,37,118,74,19.2,12.1,0.277,0.569,0.367,0.936,1,5,13,0,7,0.288,0.565,0.379,0.39,0.378,0.278,92.4,12.9,35.1,12.7,25.3,48.1
Betts,Mookie,2019,27,597,706,176,102,40,5,29,101,97,14.3,13.7,0.295,0.524,0.391,0.915,3,3,6,0,9,0.313,0.58,0.38,0.414,0.41,0.268,91,19.3,39.2,10.3,14.5,38.3
Smith,Mallex,2019,26,510,566,116,82,19,9,6,141,42,24.9,7.4,0.227,0.335,0.299,0.634,9,11,0,2,1,0.215,0.3,0.278,0.268,0.29,0.085,85.2,7.5,29.6,2.2,28.6,47.3
Arcia,Orlando,2019,25,494,546,110,78,16,1,15,109,43,20,7.9,0.223,0.35,0.282,0.632,5,1,5,2,6,0.23,0.369,0.269,0.287,0.293,0.139,88,6.8,27.5,4.6,24.6,47.5
Marte,Ketel,2019,26,569,628,187,110,36,9,32,86,53,13.7,8.4,0.329,0.592,0.389,0.981,2,4,2,0,2,0.305,0.531,0.405,0.38,0.368,0.226,90,11.5,34.4,9.3,17.7,47.5
Turner,Trea,2019,26,521,569,155,94,37,5,19,113,43,19.9,7.6,0.298,0.497,0.353,0.85,5,3,2,0,2,0.283,0.462,0.356,0.344,0.341,0.179,90.4,9.9,29.8,6.8,23.4,46.7
Pillar,Kevin,2019,30,611,645,158,97,37,3,21,89,18,13.8,2.8,0.259,0.432,0.287,0.719,5,9,4,0,7,0.266,0.416,0.298,0.304,0.296,0.151,86.4,14.1,32.9,4.9,17.8,58.6
Ramirez,Jose,2019,27,482,542,123,64,33,3,23,74,52,13.7,9.6,0.255,0.479,0.327,0.806,4,2,3,0,6,0.272,0.467,0.335,0.346,0.345,0.195,89.2,19.8,32.6,6.3,14.6,42.3
Bregman,Alex,2019,25,554,690,164,84,37,2,41,83,119,12,17.2,0.296,0.592,0.423,1.015,1,9,2,0,8,0.272,0.465,0.418,0.38,0.409,0.193,89.3,19.6,35.5,4.8,14.3,35.1
Seager,Corey,2019,25,489,541,133,69,44,1,19,98,44,18.1,8.1,0.272,0.483,0.335,0.817,0,4,3,0,4,0.261,0.468,0.34,0.335,0.325,0.207,88.8,14.1,35.4,7.3,25.7,51.1
Reyes,Franmil,2019,24,494,548,123,67,19,0,37,156,47,28.5,8.6,0.249,0.512,0.31,0.822,0,0,1,0,7,0.265,0.543,0.338,0.364,0.329,0.278,93.3,9.5,33.3,14.8,36.5,51.5
Swanson,Dansby,2019,25,483,545,121,75,26,3,17,124,51,22.8,9.4,0.251,0.422,0.325,0.747,5,5,2,1,5,0.275,0.49,0.317,0.357,0.35,0.215,89.9,14.4,36.7,10.1,27.6,45.9
Newman,Kevin,2019,26,493,531,152,114,20,6,12,62,28,11.7,5.3,0.308,0.446,0.352,0.798,8,7,2,2,1,0.282,0.387,0.34,0.314,0.329,0.106,85.3,8.5,33.4,2.1,13.9,50.6
Olson,Matt,2019,25,483,547,129,67,26,0,36,138,51,25.2,9.3,0.267,0.545,0.351,0.896,0,12,7,0,1,0.283,0.59,0.368,0.395,0.367,0.307,92.7,19,36.1,14.5,28.2,45.2
Alonso,Pete,2019,25,597,693,155,70,30,2,53,183,72,26.4,10.4,0.26,0.583,0.358,0.941,0,21,6,0,3,0.258,0.545,0.384,0.379,0.358,0.288,90.7,14.8,37.4,15.8,28,46.6
Conforto,Michael,2019,26,549,648,141,78,29,1,33,149,84,23,13,0.257,0.494,0.363,0.856,2,10,5,0,5,0.266,0.513,0.358,0.374,0.373,0.247,89.2,16,36,11.9,27.1,45.7
Frazier,Adam,2019,28,554,608,154,104,33,7,10,75,40,12.3,6.6,0.278,0.417,0.334,0.751,5,9,4,4,1,0.279,0.408,0.32,0.323,0.338,0.129,87.2,13,36.2,1.9,15.6,48
Puig,Yasiel,2019,29,555,611,148,92,30,2,24,133,44,21.8,7.2,0.267,0.458,0.327,0.785,7,8,1,0,4,0.262,0.461,0.33,0.334,0.324,0.199,90,13.8,30.5,9.4,28.2,52.6
Soler,Jorge,2019,27,589,679,156,74,33,1,48,178,73,26.2,10.8,0.265,0.569,0.352,0.921,1,10,3,0,4,0.278,0.596,0.378,0.397,0.366,0.318,92.6,15.5,34.5,16.9,32.5,44.1
Meadows,Austin,2019,24,530,591,154,85,29,7,33,131,54,22.2,9.1,0.291,0.558,0.364,0.922,7,7,6,0,0,0.286,0.553,0.38,0.379,0.359,0.268,90.4,16.7,38.1,12.5,23.5,42.2
Anderson,Tim,2019,26,498,518,167,117,32,0,18,109,15,21,2.9,0.335,0.508,0.357,0.865,5,3,0,0,2,0.296,0.471,0.363,0.337,0.32,0.175,88.3,8.7,37.6,5.1,24.5,58.5
Bellinger,Cody,2019,24,558,661,170,86,34,3,47,108,95,16.3,14.4,0.305,0.629,0.405,1.034,5,3,21,0,4,0.324,0.647,0.415,0.437,0.425,0.322,91.1,18.2,40.1,13,23.5,44.4
Dozier,Hunter,2019,28,523,586,146,81,29,10,26,148,55,25.3,9.4,0.279,0.522,0.348,0.87,2,3,2,0,5,0.265,0.48,0.36,0.345,0.336,0.215,91.1,16.7,35.8,10,27,44.7
Mancini,Trey,2019,27,602,679,175,100,38,2,35,143,63,21.1,9.3,0.291,0.535,0.364,0.899,0,9,3,0,5,0.279,0.51,0.373,0.366,0.355,0.231,90.3,7.8,36.4,10.3,26.9,48.1
McMahon,Ryan,2019,25,480,539,120,73,22,1,24,160,56,29.7,10.4,0.25,0.45,0.328,0.778,1,1,1,1,1,0.248,0.437,0.33,0.33,0.329,0.189,91.9,8.9,36.3,9,32.5,49.6
Rosario,Amed,2019,24,616,655,177,125,30,7,15,124,31,18.9,4.7,0.287,0.432,0.322,0.754,10,3,2,2,3,0.294,0.435,0.318,0.33,0.331,0.141,89.4,8.9,35.4,4.2,24.3,51.7
Adames,Willy,2019,24,531,584,135,89,25,1,20,153,46,26.2,7.9,0.254,0.418,0.315,0.733,2,3,1,3,1,0.254,0.446,0.313,0.326,0.317,0.192,88.5,10.8,36.1,8.4,27.2,46.8
Benintendi,Andrew,2019,25,541,615,144,86,40,5,13,140,59,22.8,9.6,0.266,0.431,0.341,0.772,3,7,1,3,5,0.269,0.47,0.33,0.348,0.346,0.201,89.1,17.3,39.9,8.1,25.3,51.2
