playerID,yearID,stint,TeamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
hayeske01,2020,1,PIT,NL,65,230,46,86,19,5,14,30,3,0,24,54,5,3,0,0,5
haysau01,2020,1,BAL,AL,89,329,54,92,5,0,11,24,5,8,22,68,0,5,0,5,3
healyry01,2020,1,MIL,NL,11,19,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
heathni01,2020,1,KCR,AL,41,35,5,5,3,0,0,8,5,5,5,16,0,3,3,0,0
hechaad01,2020,1,ATL,NL,73,159,19,41,8,0,0,5,0,0,11,32,0,0,0,0,3
hedgeau01,2020,1,TOT,MLB,95,186,19,27,3,0,8,16,3,3,16,62,0,5,14,3,8
heimjo01,2020,1,OAK,AL,35,103,14,22,0,0,0,14,0,0,8,8,0,0,0,0,3
heinesc01,2020,1,TEX,AL,65,140,16,22,8,0,3,19,8,0,5,30,0,0,0,0,3
heinety01,2020,1,SFG,NL,41,113,8,22,3,0,0,3,3,0,11,16,0,5,5,0,0
hendrky01,2020,1,CHC,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heredgu01,2020,1,TOT,NL,41,89,16,19,0,0,5,14,3,0,8,24,0,0,0,0,0
hermomi01,2020,1,LAA,AL,19,22,0,5,0,0,0,5,3,0,3,3,0,0,0,3,0
hernace02,2020,1,CLE,AL,157,629,95,178,54,0,8,54,0,0,65,154,0,5,3,0,8
hernaen02,2020,1,LAD,NL,130,375,54,86,22,3,14,54,0,3,16,84,0,5,0,3,14
hernaos01,2020,1,KCR,AL,11,11,3,5,0,0,0,0,0,0,0,3,0,0,0,0,3
hernate01,2020,1,TOR,AL,135,513,89,149,19,0,43,92,16,3,38,170,0,3,0,3,11
hernaya01,2020,1,WSN,NL,32,70,8,14,8,0,3,16,0,0,3,32,0,0,0,3,0
herredi01,2020,1,BAL,AL,8,14,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0
heywaja01,2020,1,CHC,NL,135,397,54,105,16,5,16,59,5,0,81,100,3,5,0,5,3
hicksaa01,2020,1,NYY,AL,146,456,76,103,27,5,16,57,11,3,111,103,3,3,0,0,11
higasky01,2020,1,NYY,AL,43,130,19,32,3,0,11,27,0,0,0,30,0,0,0,0,0
hillde01,2020,1,DET,AL,41,30,8,3,0,0,0,0,0,0,3,16,0,0,0,0,0
